TURMA;MÓDULO;TURNO;Cursos
G93748;1º;Noturno;2
G93747;1º;Noturno;2
G91396;2º;Noturno;2
G91464 ;2º;Noturno;2
G89463 ;3º;Noturno;2
G88468 ;3º;Noturno;2
G86975;4º;Noturno;2
G85669 ;4º;Noturno;2
G93750;1º;Noturno;6
G91255 ;2º;Noturno;6
G88469;3º;Noturno;6
G85671;4º;Noturno;6
G93751;1º;Noturno;7
G91394 ;2º;Noturno;7
G88464;3º;Noturno;7
G85666;4º;Noturno;7
G93752;1º;Noturno;8
G91256 ;2º;Noturno;8
G88470;3º;Noturno;8
G93753;1º;Noturno;9
G91397 ;2º;Noturno;9
G88471;3º;Noturno;9
G85674;4º;Noturno;9
G85667;4º;Noturno;
