Sala;Curso;Turma;Professor;Disciplina;entrada;saida
16;7;16;3;11;18:40;21:40
18;7;15;4;4;18:40;21:40
17;7;17;5;3;18:40;21:40
21;7;14;29;29;18:40;21:40
1;1;1;1;26;18:40;21:40
3;2;2;8;24;18:40;21:40
4;2;4;11;17;18:40;21:40
6;2;6;20;21;18:40;21:40
15;2;7;27;7;18:40;21:40
5;2;5;30;13;18:40;21:40
27;2;5;30;14;18:40;21:40
14;2;9;31;10;18:40;21:40
2;2;3;32;22;18:40;21:40
11;6;11;7;23;18:40;21:40
13;6;13;9;25;18:40;21:40
12;6;12;10;27;18:40;21:40
10;6;10;12;19;18:40;21:40
20;8;20;16;5;18:40;21:40
19;8;19;18;28;18:40;21:40
8;8;18;34;9;18:40;21:40
24;9;23;14;16;18:40;21:40
23;9;21;15;12;18:40;21:40
22;9;22;22;20;18:40;21:40
9;9;24;26;15;18:40;21:40
;;;;;18:40;21:40
;;;;;18:40;21:40
